Datum;Tijd (CEST);Locatie;Golfhoogte in cm
29-9-2023;10:40;Platform HKZA;97
29-9-2023;10:50;Platform HKZA;101
29-9-2023;11:00;Platform HKZA;101
29-9-2023;11:10;Platform HKZA;105
29-9-2023;11:20;Platform HKZA;102
29-9-2023;11:30;Platform HKZA;95
29-9-2023;11:40;Platform HKZA;95
29-9-2023;11:50;Platform HKZA;96
29-9-2023;12:00;Platform HKZA;100
29-9-2023;12:10;Platform HKZA;103
29-9-2023;12:20;Platform HKZA;103
29-9-2023;12:30;Platform HKZA;107
29-9-2023;12:40;Platform HKZA;110
29-9-2023;12:50;Platform HKZA;107
29-9-2023;13:00;Platform HKZA;108
29-9-2023;13:10;Platform HKZA;116
29-9-2023;13:20;Platform HKZA;121
29-9-2023;13:30;Platform HKZA;116
29-9-2023;13:40;Platform HKZA;116
29-9-2023;13:50;Platform HKZA;124
29-9-2023;14:00;Platform HKZA;128
29-9-2023;14:10;Platform HKZA;127
29-9-2023;14:20;Platform HKZA;118
29-9-2023;14:30;Platform HKZA;130
29-9-2023;14:40;Platform HKZA;152
29-9-2023;14:50;Platform HKZA;147
29-9-2023;15:00;Platform HKZA;145
29-9-2023;15:10;Platform HKZA;142
29-9-2023;15:20;Platform HKZA;140
29-9-2023;15:30;Platform HKZA;144
29-9-2023;15:40;Platform HKZA;154
29-9-2023;15:50;Platform HKZA;153
29-9-2023;16:00;Platform HKZA;139
29-9-2023;16:10;Platform HKZA;132
29-9-2023;16:20;Platform HKZA;133
29-9-2023;16:30;Platform HKZA;138
29-9-2023;16:40;Platform HKZA;142
29-9-2023;16:50;Platform HKZA;141
29-9-2023;17:00;Platform HKZA;131
29-9-2023;17:10;Platform HKZA;136
29-9-2023;17:20;Platform HKZA;142
29-9-2023;17:30;Platform HKZA;145
29-9-2023;17:40;Platform HKZA;140
29-9-2023;17:50;Platform HKZA;139
29-9-2023;18:00;Platform HKZA;140
29-9-2023;18:10;Platform HKZA;142
29-9-2023;18:20;Platform HKZA;142
29-9-2023;18:30;Platform HKZA;137
29-9-2023;18:40;Platform HKZA;139
29-9-2023;18:50;Platform HKZA;137
29-9-2023;19:00;Platform HKZA;144
29-9-2023;19:10;Platform HKZA;142
29-9-2023;19:20;Platform HKZA;133
29-9-2023;19:30;Platform HKZA;131
29-9-2023;19:40;Platform HKZA;129
29-9-2023;19:50;Platform HKZA;132
29-9-2023;20:00;Platform HKZA;127
29-9-2023;20:10;Platform HKZA;129
29-9-2023;20:20;Platform HKZA;130
29-9-2023;20:30;Platform HKZA;118
29-9-2023;20:40;Platform HKZA;111
29-9-2023;20:50;Platform HKZA;111
29-9-2023;21:00;Platform HKZA;116
29-9-2023;21:10;Platform HKZA;123
29-9-2023;21:20;Platform HKZA;121
29-9-2023;21:30;Platform HKZA;122
29-9-2023;21:40;Platform HKZA;124
29-9-2023;21:50;Platform HKZA;118
29-9-2023;22:00;Platform HKZA;115
29-9-2023;22:10;Platform HKZA;112
29-9-2023;22:20;Platform HKZA;118
29-9-2023;22:30;Platform HKZA;119
29-9-2023;22:40;Platform HKZA;111
29-9-2023;22:50;Platform HKZA;107
29-9-2023;23:00;Platform HKZA;109
29-9-2023;23:10;Platform HKZA;109
29-9-2023;23:20;Platform HKZA;107
29-9-2023;23:30;Platform HKZA;108
29-9-2023;23:40;Platform HKZA;107
29-9-2023;23:50;Platform HKZA;103
30-9-2023;00:00;Platform HKZA;97
30-9-2023;00:10;Platform HKZA;101
30-9-2023;00:20;Platform HKZA;106
30-9-2023;00:30;Platform HKZA;103
30-9-2023;00:40;Platform HKZA;97
30-9-2023;00:50;Platform HKZA;96
30-9-2023;01:00;Platform HKZA;94
30-9-2023;01:10;Platform HKZA;96
30-9-2023;01:20;Platform HKZA;98
30-9-2023;01:30;Platform HKZA;99
30-9-2023;01:40;Platform HKZA;100
30-9-2023;01:50;Platform HKZA;96
30-9-2023;02:00;Platform HKZA;96
30-9-2023;02:10;Platform HKZA;95
30-9-2023;02:20;Platform HKZA;92
30-9-2023;02:30;Platform HKZA;97
30-9-2023;02:40;Platform HKZA;94
30-9-2023;02:50;Platform HKZA;91
30-9-2023;03:00;Platform HKZA;94
30-9-2023;03:10;Platform HKZA;93
30-9-2023;03:20;Platform HKZA;92
30-9-2023;03:30;Platform HKZA;95
30-9-2023;03:40;Platform HKZA;92
30-9-2023;03:50;Platform HKZA;89
30-9-2023;04:00;Platform HKZA;86
30-9-2023;04:10;Platform HKZA;84
30-9-2023;04:20;Platform HKZA;88
30-9-2023;04:30;Platform HKZA;86
30-9-2023;04:40;Platform HKZA;84
30-9-2023;04:50;Platform HKZA;83
30-9-2023;05:00;Platform HKZA;83
30-9-2023;05:10;Platform HKZA;85
30-9-2023;05:20;Platform HKZA;83
30-9-2023;05:30;Platform HKZA;79
30-9-2023;05:40;Platform HKZA;77
30-9-2023;05:50;Platform HKZA;75
30-9-2023;06:00;Platform HKZA;75
30-9-2023;06:10;Platform HKZA;74
30-9-2023;06:20;Platform HKZA;73
30-9-2023;06:30;Platform HKZA;71
30-9-2023;06:40;Platform HKZA;71
30-9-2023;06:50;Platform HKZA;70
30-9-2023;07:00;Platform HKZA;64
30-9-2023;07:10;Platform HKZA;65
30-9-2023;07:20;Platform HKZA;70
30-9-2023;07:30;Platform HKZA;70
30-9-2023;07:40;Platform HKZA;67
30-9-2023;07:50;Platform HKZA;68
30-9-2023;08:00;Platform HKZA;67
30-9-2023;08:10;Platform HKZA;67
30-9-2023;08:20;Platform HKZA;68
30-9-2023;08:30;Platform HKZA;65
30-9-2023;08:40;Platform HKZA;62
30-9-2023;08:50;Platform HKZA;59
30-9-2023;09:00;Platform HKZA;61
30-9-2023;09:10;Platform HKZA;61
30-9-2023;09:20;Platform HKZA;60
30-9-2023;09:30;Platform HKZA;61
30-9-2023;09:40;Platform HKZA;61
30-9-2023;09:50;Platform HKZA;57
30-9-2023;10:00;Platform HKZA;57
30-9-2023;10:10;Platform HKZA;56
30-9-2023;10:20;Platform HKZA;55
30-9-2023;10:30;Platform HKZA;57
30-9-2023;10:40;Platform HKZA;56
30-9-2023;10:50;Platform HKZA;57
30-9-2023;11:00;Platform HKZA;56
30-9-2023;11:10;Platform HKZA;55
30-9-2023;11:20;Platform HKZA;54
30-9-2023;11:30;Platform HKZA;52
30-9-2023;11:40;Platform HKZA;55
30-9-2023;11:50;Platform HKZA;59
30-9-2023;12:00;Platform HKZA;61
